LOCATION,NAME,FACILITY_TYPE,WEBLINK,FACILITY_SUBTYPE,FACILITYID,LONGITUDE,LATITUDE
10650 164 ST,Fraser Wood Elementary School,School,https://www.surreyschools.ca/schools/fraserwood/Pages/default.aspx,Elementary,1001291909,-122.76651383225342,49.196152708517324
,Comfort Inn & Suites Surrey,Hotel,http://www.comfortinnsurrey.com/,,1001299264,-122.76216144122155,49.15239930518225
7940 156 ST,Fleetwood Park Secondary School,School,https://www.surreyschools.ca/schools/fltsec/Pages/default.aspx,Secondary,1001299344,-122.78875204122171,49.14759138054079
11113 148 ST,Pilath Hall House,Community Hall/Centre,,,1001298090,-122.81321265685962,49.20445718700256
18620 56 AVE,Relevant High School,School,http://www.relevanthighschool.ca,Private,1001305487,-122.70627075503451,49.10350864299762
6151 180 ST,Lord Tweedsmuir Secondary School,School,https://www.surreyschools.ca/schools/tweeds/Pages/default.aspx,Secondary,1001307578,-122.72505755225798,49.11475312156617
14246 44 AVE,Serpentine Fen,Attraction,http://www.surrey.ca/culture-recreation/2300.aspx,,1001314146,-122.82670299100403,49.08172123306438
15225 98 AVE,Mountainview Montessori Elementary School,School,https://www.surreyschools.ca/schools/mountainview/Pages/default.aspx,Elementary,1001314522,-122.80002622473397,49.18083369721693
6256 184 ST,Don Christian Elementary School,School,https://www.surreyschools.ca/schools/donchristian/Pages/default.aspx,Elementary,1001317142,-122.71143895499728,49.116476860459905
18620 56 AVE,Diamond Elementary,School,http://www.relevanthighschool.ca/Diamond_Elementary.html,Private,1001318362,-122.70688541753536,49.103670114544414
7878 120 ST,Canadian Tire (Scott Rd),Garbage and Recycling,http://www.canadiantire.ca/en.html,Used Oil,1001318632,-122.88912752510578,49.146148360338316
17511 59 AVE,Cloverdale Catholic,School,http://www.ccsunited.ca/,Private,1001319863,-122.73756330205332,49.109979586102014
5811 184 ST,Martha Currie Elementary School,School,https://www.surreyschools.ca/schools/marthacurrie/Pages/default.aspx,Elementary,1001324301,-122.71380886007086,49.10807693761223
"1273 FIR ST, WHITE ROCK",White Rock Elementary School,School,https://www.surreyschools.ca/schools/whiterockelem/Pages/default.aspx,Elementary,1001797127,-122.79952559586545,49.025233026501056
"15877 ROPER AVE, WHITE ROCK",Peace Arch Elementary School,School,https://www.surreyschools.ca/schools/peacea/Pages/default.aspx,Elementary,1001797146,-122.78310558003754,49.0261312035966
"15521 RUSSELL AVE, SURREY",Peace Arch Hospital,Hospital,http://www.fraserhealth.ca/find_us/locations/our_locations?site_id=1783,,1001797155,-122.79250574826956,49.03006136391949
12550 20 AVE,Ocean Cliff Elementary School,School,https://www.surreyschools.ca/schools/oceancliff/Pages/default.aspx,Elementary,1001328540,-122.87530375453896,49.03795894612668
8870 120 ST,Kennedy Community Hall,Community Hall/Centre,http://www.surrey.ca/community/3335.aspx,,1001328890,-122.88990821167117,49.164420586045274
13460 62 AVE,North Ridge Elementary School,School,https://www.surreyschools.ca/schools/northridgeelementary/Pages/default.aspx,Elementary,1001333710,-122.84924257788575,49.11463100320537
1815 152 ST,S. Surrey RCMP District Office & Semiahmoo Library,Library,,,1001335477,-122.801652849557,49.035095371106294
15516 36 AVE,Rosemary Heights Elementary School,School,https://www.surreyschools.ca/schools/rosemaryheights/Pages/default.aspx,Elementary,1001338954,-122.79260298998786,49.06676407265435
2320 KING GEORGE BLVD,South Surrey / White Rock Learning Centre ,School,https://www.surreyschools.ca/schools/whiterocklc/Pages/default.aspx,Administration,1001336667,-122.79096650047521,49.04472978538735
8824 144 ST,Green Timbers Elementary School,School,https://www.surreyschools.ca/schools/greentimbers/Pages/default.aspx,Elementary,1001346446,-122.8226322470482,49.16377604441564
12772 88 AVE,Invergarry Adult Education Centre,School,https://www.surreyschools.ca/schools/iaec/Pages/default.aspx,Adult/Continuing Education,1001343214,-122.86876906375825,49.16207086537384
13940 77 AVE,Frank Hurt Secondary School,School,https://www.surreyschools.ca/schools/frankhurt/Pages/default.aspx,Secondary,1001233963,-122.83675979385004,49.14195642856257
2440 128 ST,Crescent Park Elementary School,School,https://www.surreyschools.ca/schools/crescentpark/Pages/default.aspx,Elementary,1001344913,-122.8665763559035,49.046393738378804
7027 184 ST,Surrey Little Theatre,Attraction,http://www.surreylittletheatre.com/Site/Welcome.html,,1001344712,-122.71287839142954,49.13005475509493
5741 176 ST,Cloverdale Learning Centre,School,,Adult/Continuing Education,1001346982,-122.73532963054551,49.10665971414412
10153 KING GEORGE BLVD,Central City,Shopping Centre,http://www.centralcity.ca/contact/,Private,1001350568,-122.84931440820914,49.18619627715238
13511 102 AVE,Arts Council of Surrey,Other,http://www.surrey.ca/youth/132.aspx,,1001349790,-122.84705211756754,49.188101593673814
5640 188 ST,Sunrise Executive Par 3 Golf Course,Golf,http://www.surrey.ca/culture-recreation/7287.aspx,,1001349873,-122.70110082629559,49.10509153561935
9341 126 ST,Senator Reid Elementary School,School,https://www.surreyschools.ca/schools/senatorreid/Pages/default.aspx,Elementary,1001346347,-122.87457080413803,49.172423831475434
9761 192 ST,Jobrite New & Used Ford Truck Parts,Garbage and Recycling,http://surrey.cylex.ca/company/jobrite-new---used-ford-truck-parts-12680546.html,Used Oil,1001352496,-122.69097174124758,49.1799230431437
9380 140 ST,Simon Cunningham Elementary School,School,https://www.surreyschools.ca/schools/scunningham/Pages/default.aspx,Elementary,1001353170,-122.83363437082167,49.17296660679727
19076 88 AVE,Port Kells Elementary School,School,https://www.surreyschools.ca/schools/portkells/Pages/default.aspx,Elementary,1001244429,-122.69356916915976,49.16247096980322
14200 GREEN TIMBERS WAY,RCMP "E" Division HQ,RCMP,http://bc.rcmp-grc.gc.ca,,1001355503,-122.82883691343945,49.18018890415226
13751 112 AVE,James Ardiel Elementary School,School,https://www.surreyschools.ca/schools/jamesardiel/Pages/default.aspx,Elementary,1001240971,-122.84092766992256,49.20688441238141
7525 KING GEORGE BLVD,English Language Learner Welcome Centre,School,,Programs and Services,1001241153,-122.84643947582623,49.13960611111777
8962 HOLT (120 ST) RD,Sur-Del Bottle Depot,Garbage and Recycling,https://www.return-it.ca/locations/sur-del-bottle-depot/,Bottle Depot,1001257820,-122.88905714258132,49.16621527246349
15751 16 AVE,Earl Marriott Secondary School,School,https://www.surreyschools.ca/schools/earlmarriott/Pages/default.aspx,Secondary,1001270910,-122.785506533987,49.031788154611256
